Threshold,Accuracy,Sensitivity,Specificity
0.0,0.4333,1.0,0.0
0.01,0.4333,1.0,0.0
0.02,0.4333,1.0,0.0
0.03,0.4333,1.0,0.0
0.04,0.4333,1.0,0.0
0.05,0.4333,1.0,0.0
0.06,0.4333,1.0,0.0
0.07,0.4333,1.0,0.0
0.08,0.4333,1.0,0.0
0.09,0.4333,1.0,0.0
0.1,0.4417,1.0,0.0147
0.11,0.45,1.0,0.0294
0.12,0.4583,1.0,0.0441
0.13,0.4667,1.0,0.0588
0.14,0.4667,0.9808,0.0735
0.15,0.4667,0.9808,0.0735
0.16,0.4667,0.9808,0.0735
0.17,0.4667,0.9808,0.0735
0.18,0.4667,0.9808,0.0735
0.19,0.4667,0.9808,0.0735
0.2,0.4667,0.9808,0.0735
0.21,0.4667,0.9808,0.0735
0.22,0.475,0.9808,0.0882
0.23,0.475,0.9808,0.0882
0.24,0.475,0.9808,0.0882
0.25,0.4833,0.9808,0.1029
0.26,0.4917,0.9808,0.1176
0.27,0.5,0.9808,0.1324
0.28,0.5,0.9808,0.1324
0.29,0.5,0.9808,0.1324
0.3,0.5,0.9808,0.1324
0.31,0.5,0.9808,0.1324
0.32,0.5167,0.9808,0.1618
0.33,0.525,0.9808,0.1765
0.34,0.525,0.9808,0.1765
0.35000000000000003,0.5333,0.9808,0.1912
0.36,0.5583,0.9808,0.2353
0.37,0.5583,0.9808,0.2353
0.38,0.5667,0.9808,0.25
0.39,0.5833,0.9808,0.2794
0.4,0.6,0.9808,0.3088
0.41000000000000003,0.6,0.9808,0.3088
0.42,0.6083,0.9808,0.3235
0.43,0.6083,0.9615,0.3382
0.44,0.6083,0.9615,0.3382
0.45,0.6167,0.9615,0.3529
0.46,0.6083,0.9423,0.3529
0.47000000000000003,0.6167,0.9423,0.3676
0.48,0.6167,0.9423,0.3676
0.49,0.625,0.9423,0.3824
0.5,0.625,0.9423,0.3824
0.51,0.6417,0.9423,0.4118
0.52,0.6417,0.9423,0.4118
0.53,0.6417,0.9423,0.4118
0.54,0.65,0.9423,0.4265
0.55,0.675,0.9423,0.4706
0.56,0.6833,0.9231,0.5
0.5700000000000001,0.7,0.9038,0.5441
0.58,0.7167,0.9038,0.5735
0.59,0.7167,0.8846,0.5882
0.6,0.7333,0.8846,0.6176
0.61,0.75,0.8846,0.6471
0.62,0.7583,0.8654,0.6765
0.63,0.7667,0.8654,0.6912
0.64,0.7583,0.8462,0.6912
0.65,0.7583,0.8269,0.7059
0.66,0.7667,0.8269,0.7206
0.67,0.7583,0.8077,0.7206
0.68,0.775,0.8077,0.75
0.6900000000000001,0.7833,0.8077,0.7647
0.7000000000000001,0.775,0.7885,0.7647
0.71,0.775,0.7885,0.7647
0.72,0.7417,0.7115,0.7647
0.73,0.725,0.6538,0.7794
0.74,0.7333,0.6346,0.8088
0.75,0.7333,0.5962,0.8382
0.76,0.725,0.5577,0.8529
0.77,0.7333,0.5385,0.8824
0.78,0.725,0.5192,0.8824
0.79,0.7083,0.4808,0.8824
0.8,0.7083,0.4808,0.8824
0.81,0.7083,0.4615,0.8971
0.8200000000000001,0.7083,0.4038,0.9412
0.8300000000000001,0.6917,0.3654,0.9412
0.84,0.7,0.3654,0.9559
0.85,0.7083,0.3654,0.9706
0.86,0.6917,0.3269,0.9706
0.87,0.65,0.2308,0.9706
0.88,0.6417,0.2115,0.9706
0.89,0.6333,0.1923,0.9706
0.9,0.6167,0.1538,0.9706
0.91,0.6083,0.1346,0.9706
0.92,0.6083,0.1154,0.9853
0.93,0.5917,0.0769,0.9853
0.9400000000000001,0.5917,0.0577,1.0
0.9500000000000001,0.5917,0.0577,1.0
0.96,0.575,0.0192,1.0
0.97,0.575,0.0192,1.0
0.98,0.5667,0.0,1.0
0.99,0.5667,0.0,1.0
1.0,0.5667,0.0,1.0
